Competidor,Haul,OrgDesCont,22,21,20,19,18
AeroLogic,SH,ASIA-EUR,LUN: dxb-HKG-CGN-LEJ-EMA-lej (D-AALH),LUN: lej-HKG-LEJ-BAH-hkg (D-AALI),LUN: bah-HKG-CGN-BRU-LEJ-BAH-HKG-CGN*-LEJ-dxb (D-AALC),LUN: dxb-HKG-LEJ-BAH*-HKG-lej (D-AALC),LUN: nrt-HKG-LEJ-PVG-icn (D-AALC)
AeroLogic,SH,ASIA-EUR,LUN: bom-HKG-FRA*-YYZ-LAX-fra (D-AALI),LUN: pvg-ICN-LEJ-NRT-hkg (D-AALK),LUN: lej-HKG-LEJ-SIN-hkg (D-AALE),LUN: tas-HKG-CGN*-BRU-LEJ-SIN-BKK-HKG-LEJ-pvg (D-AALD),LUN: tas-HKG-CGN*-BRU-LEJ-DXB-HKG-DXB-LEJ-ema (D-AALG)
AeroLogic,SH,ASIA-EUR,MAR: hkg-DXB-LEJ-bah (D-AALD),LUN: dxb-HKG-LEJ-SIN-hkg (D-AALN),LUN: dxb-HKG-LEJ-BAH-hkg (D-AALN),LUN: lej-HKG-LEJ-SIN*-HKG-cgn (D-AALE),MAR: pvg-ICN-LEJ-EMA-LEJ-SIN-BKK-HKG-lej (D-AALC)
AeroLogic,SH,ASIA-EUR,MAR: nrt-HKG-LEJ-dxb (D-AALN),MAR: nrt-HKG-LEJ-SIN-bkk (D-AALA),MAR: hkg-DXB-LEJ*-CVG-LEJ-DXB-HKG-CGN-LEJ-bah (D-AALD),MAR: bkk-HKG-LEJ-BAH-hkg (D-AALA),MAR: icn-PVG-LEJ-BAH-hkg (D-AALF)
AeroLogic,SH,ASIA-EUR,,MAR: hkg-DXB-LEJ-EMA-LEJ-ICN-HKG-CVG-lej (D-AALC),MAR: sin-HKG-LEJ-SIN-hkg (D-AALE),MAR: lej-BAH*-HKG-LEJ-SIN-hkg (D-AALC),MAR: sin-HKG-LEJ-NRT-szx (D-AALH)
AeroLogic,SH,ASIA-EUR,,MAR: sin-BKK*-BLR-LEJ-SIN-bkk (D-AALE),MAR: icn-HKG-CGN-BRU-LEJ-BAH-HKG-DXB-lej (D-AALG),MAR: lej-SIN*-HKG-CGN-BRU-LEJ-SIN-HKG-DEL-lej (D-AALE),MAR: hkg-DXB-LEJ-ICN-pvg (D-AALJ)
AeroLogic,SH,ASIA-EUR,,MAR: bkk-BLR-LEJ-BAH-hkg (D-AALF),MAR: bkk-SGN-FRA-SEA-LAX-FRA*-BOM-HKG-FRA-maa (D-AALJ),MAR: bkk-SGN-FRA-SEA-LAX-FRA-HKG-FRA-maa (D-AALF),MAR: bkk-HKG-LEJ-PVG-icn (D-AALK)
AeroLogic,SH,ASIA-EUR,,MAR: pvg-ICN-LEJ-NRT-hkg (D-AALG),MAR: nrt-HKG-LEJ-PVG-icn (D-AALK),MAR: pvg-ICN-LEJ-NRT-hkg (D-AALH),MAR: icn-HKG-LEJ-SIN-bkk (D-AALN)
AeroLogic,SH,ASIA-EUR,,MAR: hkg-DEL-LEJ-DXB-hkg (D-AALH),MIE: nrt-HKG-LEJ-PVG-icn (D-AALA),MAR: lej-NRT*-HKG-LEJ-ICN-hkg (D-AALJ),MIE: bah-HKG-LEJ-SIN-bkk (D-AALA)
AeroLogic,SH,ASIA-EUR,,MAR: sin-HKG-LEJ-SIN-hkg (D-AALN),MIE: bkk-BLR-LEJ-SIN-hkg (D-AALB),MAR: pvg-ICN-LEJ-DXB-hkg (D-AALK),MIE: bkk-HKG-LEJ-ICN-pvg (D-AALB)
